MYPlan,-,Quantity,report
Selected,jobs:
CM1200
CM1000
Component,Comment,Required,Available,Ratio of required,Difference
IC.PIC18F44K22.TQFP44.00.01,Conlan,500,160,32%,-340
L.47u.1812.280mA.00.01,Conlan,600,671,111%,71
Q.BC847B.SOT23.00.01,Conlan,600,679,113%,79
X.ABM3-13.56MHZ.6032.00.01,Conlan,600,861,143%,261
IC.MFRC531.SO32.20575,Conlan,600,864,144%,264
C.100u.TanC.TAN.10V.00.01,Conlan,600,891,148%,291
D.STP2L40U.SMB.00.01,Conlan,1200,1913,159%,713
L.1u0.1210.1000mA.00.01,Conlan,2400,3898,162%,1498
C.100n.0805.X7R.50V.00.01,Conlan,5400,12836,200%,7436
C.1n0.0805.NP0.50V.00.01,Conlan,100,3580,200%,3480
C.1n0.0805.X7R.50V.00.01,Conlan,5900,12141,200%,6241
C.2u2.1210.X7R.100V.00.01,Conlan,600,1681,200%,1081
C.330p.0805.NP0.50V.00.01,Conlan,1200,2992,200%,1792
C.47p.0805.NP0.50V.00.01,Conlan,1200,2990,200%,1790
C.4u7.TanA.TAN.10V.00.01,Conlan,600,3265,200%,2665
C.68p.0805.NP0.50V.00.01,Conlan,1200,2989,200%,1789
D.LSGT77K.LED4P.00.01,Conlan,1200,3759,200%,2559
D.LYT77K.LED2P.00.01,Conlan,3000,7349,200%,4349
D.SMBJ30A.SMB.00.01,Conlan,600,4585,200%,3985
IC.MAX1837EUT50.SOT23-6.00.01,Conlan,600,2052,200%,1452
IC.PIC18F46K22.TQFP44.00.01,Conlan,100,1020,200%,920
IC.TPD1030F.SO8.4455.00.01,Conlan,600,1474,200%,874
L.100u.1210.100mA.00.01,Conlan,600,1388,200%,788
R.0R47.0805.1%.00.01,Conlan,1200,3980,200%,2780
R.100K.0805.00.01,Conlan,2400,10940,200%,8540
R.100R.0805.00.01,Conlan,1800,5089,200%,3289
R.10K.0805.00.01,Conlan,2400,5936,200%,3536
R.1K.0805.00.01,Conlan,600,2424,200%,1824
R.2K7.0805.1%.00.01,Conlan,600,3560,200%,2960
R.330R.0805.00.01,Conlan,3000,12506,200%,9506
R.3K9.0805.1%.00.01,Conlan,600,3560,200%,2960
